TC	SC	Go-On	Kan-On	Eum	PY	MC	MCI	MCF	MCT	OC	Gloss
喬	乔	ぎょう	きょう	교	qiáo	gjew	g-	-jew	even	*N-kaw {*[N-k](r)aw}	high, tall
橋	桥	ぎょう	きょう	교교고	qiáo	gjew	g-	-jew	even	*ɡaw {*[ɡ](r)aw}	bridge
鴞	鸮	よう	よう	효	xiāo	hjew	h-	-jew	even	*ɢʷaw {*[ɢ]ʷ(r)aw}	owl
矯	矫	きょう	きょう	교	jiǎo	kjewX	k-	-jew	rising	*kawʔ {*[k](r)[a]wʔ}	falsify
蹻	𫏋			교교갹곡	jué	kjewX	k-	-jew	rising	*kawʔ {*k(r)awʔ}	martial
苗	苗	みょう	びょう	묘	miáo	mjew	m-	-jew	even	*maw {*m(r)aw}	sprout (n.)
廟	庙	みょう		묘	miào	mjewH	m-	-jew	departing	*mraw-s {*[m]raw-s}	a kind of building with side rooms
襓	襓			요	ráo	nyew	ny-	-jew	even	*ŋew {*[ŋ]ew} (‹ uvular?)	scabbard
橈	桡	にょう	どう	뇨요요	ráo	nyew	ny-	-jew	even	*ŋew {*[ŋ]ew} (‹ uvular?)	oar
繞	绕	にょう	じょう	요요	rǎo	nyewH	ny-	-jew	departing	*ŋewʔ-s {*[ŋ]ewʔ-s} (‹ uvular?)	to wind round
繞	绕	にょう	じょう	요요	rǎo	nyewX	ny-	-jew	rising	*ŋewʔ {*[ŋ]ewʔ} (‹ uvular?)	curved
表	表	ひょう	ひょう	표	biǎo	pjewX	p-	-jew	rising	*pawʔ {*p(r)awʔ}	exterior
肖	肖	しょう	しょう	초소초	xiāo	sjew	s-	-jew	even	*sew {*[s]ew}	disappear
宵	宵	しょう	しょう	소초	xiāo	sjew	s-	-jew	even	*sew {*[s]ew}	night, evening
逍	逍			소소	xiāo	sjew	s-	-jew	even	*sew {*[s]ew}	be at ease
霄	霄	しょう	しょう		xiāo	sjew	s-	-jew	even	*sew {*[s]ew}	sleet
消	消	しょう	しょう		xiāo	sjew	s-	-jew	even	*sew {*[s]ew}	dissolve; disappear
小	小	しょう	しょう		xiǎo	sjewX	s-	-jew	rising	*sewʔ {*[s]ewʔ}	small
笑	笑	しょう	しょう		xiào	sjewH	s-	-jew	departing	*s-law-s	to laugh
肖	肖	しょう	しょう		xiào	sjewH	s-	-jew	departing	*sew-s {*[s]ew-s}	resemble
削	削	さく	しゃく	삭초소소	xiào	sjewH	s-	-jew	departing	*sewk-s {*[s]ewk-s}	scrape, pare
燒	烧	しょう	しょう	소소	shāo	syew	sy-	-jew	even	*ŋ̊ew {*[ŋ̊]ew}	burn
少	少	しょう	しょう	소소	shǎo	syewX	sy-	-jew	rising	*s.tewʔ {*[s.t]ewʔ}	few
少	少	しょう	しょう	소소	shào	syewH	sy-	-jew	departing	*s-tewʔ-s {*[s-t]ewʔ-s}	young
朝	朝	ちょう,じょう	ちょう,ちょう	조주	zhāo	trjew	tr-	-jew	even	*t‹r›aw	morning
超	超	ちょう	ちょう	초초초	chāo	trhjew	trh-	-jew	even	*tʰraw {*tʰr[a]w}	leap over, surpass
椒	椒	しょう	しょう	초	jiāo	tsjew	ts-	-jew	even	*S.tew	pepper plant
剿	剿	しょう	しょう	초초	jiǎo	tsjewX	ts-	-jew	rising	*tsawʔ {*[ts]awʔ}	cut off
昭	昭	しょう	しょう	소조조	zhāo	tsyew	tsy-	-jew	even	*taw	bright
沼	沼	しょう	しょう	소조소	zhǎo	tsyewX	tsy-	-jew	rising	*tawʔ	pool
炤	炤			소조조	zhào	tsyewH	tsy-	-jew	departing	*taw-s	shine on
詔	诏	しょう	しょう	조소조	zhào	tsyewH	tsy-	-jew	departing	*taw-s	tell, announce
照	照	しょう	しょう	조조	zhào	tsyewH	tsy-	-jew	departing	*taw-s	shine on
䍃	䍃				yáo	yew	y-	-jew	even	*law	eartheware
傜	傜			요요	yáo	yew	y-	-jew	even	*law	public or military service
搖	摇			요요	yáo	yew	y-	-jew	even	*law {*l[a]w}	shake
謠	谣			요	yáo	yew	y-	-jew	even	*law	sing; song
窰	窰			요교요	yáo	yew	y-	-jew	even	*law	kiln
徭	徭			요요	yáo	yew	y-	-jew	even	*law	public or military service
曜	曜	よう	よう	요	yào	yewH	y-	-jew	departing	*lewk-s	shine
燿	燿			요초삭	yào	yewH	y-	-jew	departing	*lewk-s	shine
耀	耀			요	yào	yewH	y-	-jew	departing	*lewk-s	shine
避	避	び	ひ	피	bì	bjieH	b-	-jie	departing	*bek-s {*[b]ek-s}	avoid
庳	庳			비비	bì	bjieX	b-	-jie	rising	*N-peʔ	low, short
婢	婢	び	ひ	비비	bì	bjieX	b-	-jie	rising	*beʔ {*[b]eʔ}	female slave or servant
歧	歧			기기기지	qí	gjie	g-	-jie	even	*N-ke (dial.: no palatalization)	forked (road)
祇	祇	ぎ	き	기지기지	qí	gjie	g-	-jie	even	*k.de {*[k.d]e} (dial. › *ɡ-, no palatalization)	earth spirit
彌	弥	み	び	미미미예미미	mí	mjie	m-	-jie	even	*m-nər {*m-nə[r]}	to complete
冞	冞			미	mí	mjie	m-	-jie	even	*m.ner	extensively
𦊮	𦊮				mí	mjie	m-	-jie	even	*m.ner	extensively
彌	弥	み	び	미미미예미미	mí	mjieX	m-	-jie	rising	*m-nərʔ {*m-nə[r]ʔ}	stop
卑	卑	ひ	ひ	비비	bēi	pjie	p-	-jie	even	*pe	low, humble
臂	臂	ひ	ひ	비	bì	pjieH	p-	-jie	departing	*pek-s	arm
譬	譬			비	pì	phjieH	ph-	-jie	departing	*pʰek-s	example
敝	敝	べ	へい	폐	bì	bjiejH	b-	-jiej	departing	*bet-s {*[b]e[t]-s}	destroy; worn out
幣	币	べ	へい	폐폐	bì	bjiejH	b-	-jiej	departing	*bet-s {*[b]et-s}	offering of silk
斃	毙	べ	へい	폐폐	bì	bjiejH	b-	-jiej	departing	*bet-s {*[b]e[t]-s}	fall down (from wound or illness)
瘈	瘈			계	jì	kjiejH	k-	-jiej	departing	*ket-s {*ke[t]-s} (dial. › k-)	mad (dog)
袂	袂	けち	けつ	몌	mèi	mjiejH	m-	-jiej	departing	*k.met-s	sleeve
埶	埶			예세예세	yì	ngjiejH	ng-	-jiej	departing	*ŋet-s I!	to plant
藝	艺	げ	げい	예예예	yì	ngjiejH	ng-	-jiej	departing	*ŋet-s I!	cultivation, art, skill
蓺	蓺			예	yì	ngjiejH	ng-	-jiej	departing	*ŋet-s I!	to sow
蔽	蔽	へ	へい	폐별불폐별	bì	pjiejH	p-	-jiej	departing	*pet-s {*pe[t]-s}	cover (v.)
膉	膉				yì	ʔjiek	ʔ-	-jiek	entering	*qek {*q[e]k}	throat
益	益	やく	えき	익일	yì	ʔjiek	ʔ-	-jiek	entering	*qik (dial. › *-ek)	increase
嗌	嗌			익억악애애악	yì	ʔjiek	ʔ-	-jiek	entering	*qik {*q[i]k} (*-ik › *-ek)	throat
擗	擗			벽벽벽	pǐ	bjiek	b-	-jiek	entering	*bek {*[b]ek}	beat the breast
辟	辟	ひゃく	へき	벽비피백미비	bì	pjiek	p-	-jiek	entering	*pek	ruler, prince
璧	璧	ひゃく	へき	벽벽	bì	pjiek	p-	-jiek	entering	*pek	circular jade insignium
僻	僻				pì	phjiek	ph-	-jiek	entering	*pʰek	perverse
厭	厌	えん	えん	염엽읍암염	yān	ʔjiem	ʔ-	-jiem	even	*ʔem	contented (adj.)
便	便	べん	へん	편변	biàn	bjienH	b-	-jien	departing	*ben-s {*[b]e[n]-s}	comfortable; advantageous
諞	谝	べん	へん		biàn	bjienH	b-	-jien	departing	*m-pʰenʔ-s {*[m-pʰ]enʔ-s}	glib-tongued
諞	谝	べん	へん	편변편	biàn	bjienX	b-	-jien	rising	*m-pʰenʔ {*[m-pʰ]enʔ}	insincere words
便	便	べん	へん	편변	pián	bjien	b-	-jien	even	*ben {*[b]e[n]}	glib-tongued
遣	遣	けん	けん	견견	qiǎn	khjienX	kh-	-jien	rising	*kʰenʔ {*[k]ʰe[n]ʔ}	send
遣	遣	けん	けん	견견	qiàn	khjienH	kh-	-jien	departing	*kʰenʔ-s {*[k]ʰe[n]ʔ-s} (*kʰ- doesn't palatalize)	grave goods
沔	沔				miǎn	mjienX	m-	-jien	rising	*m.nerʔ	richly flowing stream
湎	湎	めん	べん	면	miǎn	mjienX	m-	-jien	rising	*menʔ	sink in (wine)
面	面	めん	べん	면면	miàn	mjienH	m-	-jien	departing	*C.men-s {*C.me[n]-s}	face
鞭	鞭	へん	へん		biān	pjien	p-	-jien	even	*pen {*pe[n]}	whip (n.)
編	编	へん	へん	편변	biān	pjien	p-	-jien	even	*pen {*pe[n]}	plait, weave
𠓥	𠓥				biān	pjien	p-	-jien	even	*pen {*pe[n]}	whip (n.)
偏	偏	へん	へん	편	piān	phjien	ph-	-jien	even	*pʰen {*pʰe[n]}	oblique
篇	篇	へん	へん	편	piān	phjien	ph-	-jien	even	*pʰen {*pʰe[n]}	section in writing
翩	翩	へん	へん	편편	piān	phjien	ph-	-jien	even	*pʰen {*pʰe[n]}	fly, flutter about
嬰	婴	よう	えい	영영	yīng	ʔjieng	ʔ-	-jieng	even	*ʔeŋ	surround; necklace
嬰	婴	よう	えい	영영	yīng	ʔjieng	ʔ-	-jieng	even	*ʔeŋ	baby
纓	缨	よう	えい	영	yīng	ʔjieng	ʔ-	-jieng	even	*ʔeŋ	ribbon
頸	颈	きょう	けい	경	jǐng	gjieng	g-	-jieng	even	*m-keŋ {*m-[k]eŋ} (no palatalization before *-eŋ?)	neck
頸	颈	きょう	けい	경	jǐng	kjiengX	k-	-jieng	rising	*keŋʔ {*[k]eŋʔ} (no palatalization before *-eŋ?)	neck
勁	劲	きょう	けい		jìng	kjiengH	k-	-jieng	departing	*keŋ-s (no palatalization before *-eŋ?)	strong
輕	轻	きょう	けい	경경	qīng	khjieng	kh-	-jieng	even	*kʰeŋ {*[kʰ]eŋ} (no palatalization before *-eŋ?)	light (≠ heavy)
名	名	みょう	めい	명	míng	mjieng	m-	-jieng	even	*C.meŋ	name
并	并	ひょう	へい	병병병	bīng	pjieng	p-	-jieng	even	*peŋ	combine two things
并	并	ひょう	へい	병병병	bìng	pjiengH	p-	-jieng	departing	*peŋ-s	combine two things
娉	娉	ひょう	へい	빙빙병	pīng	phjiengH	ph-	-jieng	departing	*p.l̥eŋ-s	inquire about (marriage)
滅	灭	めち	べつ	멸멸멸	miè	mjiet	m-	-jiet	entering	*met	destroy
鱉	鳖	へち	へつ	별	biē	pjiet	p-	-jiet	entering	*pet	turtle
腰	腰	よう	よう	요	yāo	ʔjiew	ʔ-	-jiew	even	*ʔew	waist
約	约	やく	やく	약요약	yào	ʔjiewH	ʔ-	-jiew	departing	*qewk-s	bond, agreement
要	要	よう	よう		yào	ʔjiewH	ʔ-	-jiew	departing	*ʔew-s	important
瓢	瓢	びょう	ひょう	표표	piáo	bjiew	b-	-jiew	even	*bew {*(Cə.)[b]ew}	gourd
翹	翘	ぎょう	きょう	교교교	qiáo	gjiew	g-	-jiew	even	*ɡew {*[ɡ]ew} (failure to palatalize is unexplained)	long tail-feather
翹	翘	ぎょう	きょう	교교교	qiáo	gjiew	g-	-jiew	even	*ɡew {*[ɡ]ew}	raise
眇	眇	みょう	びょう	묘묘	miǎo	mjiewX	m-	-jiew	rising	*mewʔ	very small, minute
渺	渺	みょう	びょう	묘	miǎo	mjiewX	m-	-jiew	rising	*mewʔ {*[m]ewʔ}	vast (of water)
杪	杪	みょう	びょう	초묘초	miǎo	mjiewX	m-	-jiew	rising	*mewʔ	the utmost end
妙	妙	みょう	びょう	묘	miào	mjiewH	m-	-jiew	departing	*mew-s {*mew(ʔ)-s}	marvelous
票	票	ひょう	ひょう	표표표	piào	phjiew	ph-	-jiew	even	*pʰew	leaping flames (SW)
伊	伊	い	い		yī	ʔjij	ʔ-	-jij	even	*ʔij	this
咿	咿	い	い	이이	yī	ʔjij	ʔ-	-jij	even	*ʔij	forced laugh
鼻	鼻	び	ひ	비	bí	bjijH	b-	-jij	departing	*Cə.bit-s {*Cə.bi[t]-s}	smell (v.t.)
鼻	鼻	び	ひ	비	bí	bjijH	b-	-jij	departing	*m-bit-s {*m-[b]i[t]-s}	nose
貔	貔	び	ひ	비	pí	bjij	b-	-jij	even	*bij {*[b]ij}	tiger-like animal
毗	毗			비	pí	bjij	b-	-jij	even	*bij {*[b]ij}	assist
牝	牝	びん	ひん	빈	pìn	bjijX	b-	-jij	rising	*birʔ {*[b]irʔ} (dial. *-r › *-j)	female of animals
棄	弃	き	き	기	qì	khjijH	kh-	-jij	departing	*kʰit-s {*[kʰ]i[t]-s}	throw away, abandon
寐	寐	み	び	매	mèi	mjijH	m-	-jij	departing	*mit-s {*mi[t]-s}	sleep
比	比	ひ	ひ	비비비	bǐ	pjijX	p-	-jij	rising	*C.pijʔ	compare
匕	匕	ひ	ひ	비	bǐ	pjijX	p-	-jij	rising	*pijʔ	ladle, spoon
秕	秕	ひ	ひ	비비	bǐ	pjijX	p-	-jij	rising	*pijʔ	chaff; petty
妣	妣			비비	bǐ	pjijX	p-	-jij	rising	*pijʔ	deceased mother
庇	庇	ひ	ひ	비자	bì	pjij	p-	-jij	even	*pij	cover; protect
比	比	ひ	ひ	비비비	bì	pjijH	p-	-jij	departing	*pij-s	combine; all
庇	庇	ひ	ひ	비자	bì	pjijH	p-	-jij	departing	*pij-s	cover; protect
妣	妣			비비	bì	pjijH	p-	-jij	departing	*pijʔ-s	deceased mother
畀	畀			비	bì	pjijH	p-	-jij	departing	*pik-s {*pi[k]-s}	give
屎	屎	し	し	시히히	shǐ	xjij	x-	-jij	even	*l̥ij (dial. *l̥- › x-)	moan
愔	愔			음음	yīn	ʔjim	ʔ-	-jim	even	*qim {*[q]im}	mild, peaceful
垔	垔				yīn	ʔjin	ʔ-	-jin	even	*qin {*[q]i[n]}	dam up, block; mound
禋	禋			인연	yīn	ʔjin	ʔ-	-jin	even	*qin {*[q]i[n]}	sacrifice
陻	陻				yīn	ʔjin	ʔ-	-jin	even	*qin {*[q]i[n]}	dam up, block; mound
因	因	いん	いん	인	yīn	ʔjin	ʔ-	-jin	even	*ʔin {*ʔi[n]}	rely on
印	印	いん	いん	인	yìn	ʔjinH	ʔ-	-jin	departing	*qiŋ-s {*[q]i[ŋ]-s}	seal
頻	频	びん	ひん	빈	pín	bjin	b-	-jin	even	*bin {*[b]i[n]}	river bank
頻	频	びん	ひん	빈	pín	bjin	b-	-jin	even	*bin {*[b]i[n]}	frequently
牝	牝	びん	ひん	빈	pìn	bjinX	b-	-jin	rising	*birʔ {*[b]irʔ}	female of animals
民	民	みん	びん	민	mín	mjin	m-	-jin	even	*miŋ {*mi[ŋ]}	people
泯	泯	みん	びん	민면민민	mǐn	mjin	m-	-jin	even	*min {*mi[n]}	destroy
賓	宾	ひん	ひん	빈빈	bīn	pjin	p-	-jin	even	*pin {*pi[n]}	guest
挹	挹			읍	yì	ʔjip	ʔ-	-jip	entering	*qip	to bow; suppress
挹	挹			읍	yì	ʔjip	ʔ-	-jip	entering	*qip	to ladle out
挹	挹			읍	yì	ʔjip	ʔ-	-jip	entering	*qip	suppress
一	一	いち	いつ	일	yī	ʔjit	ʔ-	-jit	entering	*ʔit {*ʔi[t]}	one
壹	壹	いち	いつ	일일인	yī	ʔjit	ʔ-	-jit	entering	*ʔit {*[ʔ]i[t]}	one
邲	邲				bì	bjit	b-	-jit	entering	*bit {*[b]i[t]}	[place name]
吉	吉	きち	きつ	길	jí	kjit	k-	-jit	entering	*C.qit {*C.qi[t]} (*C.q- › *k-, escaping palatalization)	auspicious
詰	诘	きち	きつ		jié	khjit	kh-	-jit	entering	*kʰit {*[kʰ]i[t]}	interrogate, reprimand
蜜	蜜	みつ	びつ	밀	mì	mjit	m-	-jit	entering	*mit	honey
𥁑	𥁑				mì	mjit	m-	-jit	entering	*mit {*mi[t]}	wipe a vessel clean (SW)
謐	谧			밀	mì	mjit	m-	-jit	entering	*mit {*mi[t]}	gentle, mild
彃	彃			필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	shoot
篳	筚	ひち	ひつ	필필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	wattle
蹕	跸	ひち	ひつ	필필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	prohibit
必	必	ひち	ひつ		bì	pjit	p-	-jit	entering	*pit {*pi[t]}	necessarily
畢	毕	ひち	ひつ	필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	wooden fork
畢	毕	ひち	ひつ	필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	bird-net
韠	韠			필필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	knee cover
畢	毕	ひち	ひつ	필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	finish (v.)
匹	匹	ひち	ひつ	필목필비	pǐ	phjit	ph-	-jit	entering	*pʰit {*pʰi[t]}	one of a pair
幽	幽	ゆう	ゆう	유유	yōu	ʔjiw	ʔ-	-jiw	even	*ʔiw {*[ʔ](r)iw}	dark; secluded
幼	幼	ゆう	ゆう	유요	yòu	ʔjiwH	ʔ-	-jiw	departing	*ʔiw-s {*[ʔ](r)iw-s}	young
摎	摎	きょう	きゅう	규규교료	jiū	kjiw	k-	-jiw	even	*k-riw (dial. › kriw)	tie around, strangle
樛	樛	きゅう	きゅう	규	jiū	kjiw	k-	-jiw	even	*k-riw (dial. › kriw)	down-curving (sc. branch)
樛	樛	きゅう	きゅう		jiū	kjiw	k-	-jiw	even	*k-riw (dial. › kriw)	twist (v.)
丩	丩	く	きゅう		jiū	kjiw	k-	-jiw	even	*kriw	to twist
糾	纠	きゅう	きゅう	규교규교	jiū	kjiwX	k-	-jiw	rising	*k‹r›iwʔ	plait, unite
謬	谬	みゅう	びゅう	류무류	miù	mjiwH	m-	-jiw	departing	*mə-riw-s (dial. › *mriw-s)	lie, error ‹ 'twist the truth'
依	依	え	い		yī	ʔjɨj	ʔ-	-jɨj	even	*ʔəj	lean upon
衣	衣	え	い	의	yī	ʔjɨj	ʔ-	-jɨj	even	*ʔəj {*ʔ(r)əj}	clothes
偯	偯			의의	yǐ	ʔjɨjX	ʔ-	-jɨj	rising	*ʔəjʔ	extended wailing
衣	衣	え	い	의	yì	ʔjɨjH	ʔ-	-jɨj	departing	*ʔəj-s	wear (v.t.)
肥	肥	び	ひ	비비	féi	bjɨj	b-	-jɨj	even	*bər {*[b][ə]r}	fat (adj.)
怫	怫	ひ	ひ	비불패패	fú	bjɨjH	b-	-jɨj	departing	*but-s {*[b]ut-s}	grieved
蟣	虮				qí	gjɨj	g-	-jɨj	even	*C.ɡəj {*C.[ɡ]əj}	[not in GSR:] leech
旂	旂			기	qí	gjɨj	g-	-jɨj	even	*C.ɢər {*C.[ɢ]ər}	banner; flag
幾	几	け	き	기기	jī	kjɨj	k-	-jɨj	even	*kəj	small; almost
機	机	け	き	기	jī	kjɨj	k-	-jɨj	even	*kəj	mechanism
饑	饑			기	jī	kjɨj	k-	-jɨj	even	*kəj {*kə[j]}	famine
幾	几	け	き	기기	jǐ	kjɨjX	k-	-jɨj	rising	*kəjʔ	few; how many
既	既	け	き	기희	jì	kjɨjH	k-	-jɨj	departing	*kət-s {*[k]ə[t]-s}	complete (v.)
豈	岂			기개개	qǐ	khjɨjX	kh-	-jɨj	rising	*C.qʰəjʔ	how
气	气	け	き		qì	khjɨjH	kh-	-jɨj	departing	*C.qʰəp-s	(inhaled thing:) breath, air, vapors
氣	气	け	き	기희	qì	khjɨjH	kh-	-jɨj	departing	*kʰəp-s {*[k]ʰəp-s}	cloudy vapors
微	微	み	び	미	wēi	mjɨj	m-	-jɨj	even	*məj	small
尾	尾	み	び	미	wěi	mjɨjX	m-	-jɨj	rising	*məjʔ {*[m]əjʔ}	tail
亹	亹	み,もん	び,ぼん	미문문	wěi	mjɨjX	m-	-jɨj	rising	*mərʔ	diligent
味	味	み	び	미말매	wèi	mjɨjH	m-	-jɨj	departing	*mət-s {*m[ə]t-s}	taste (n.)
未	未	み	び	미	wèi	mjɨjH	m-	-jɨj	departing	*mət-s {*m[ə]t-s}	not yet
未	未	み	び	미	wèi	mjɨjH	m-	-jɨj	departing	*mət-s {*m[ə]t-s}	8th earthly branch
螘	螘	ぎ	ぎ	의	yǐ	ngjɨjX	ng-	-jɨj	rising	*m-qʰəjʔ	ant
藙	藙				yì	ngjɨjH	ng-	-jɨj	departing	*ŋət-s {*[ŋ]ə[t]-s}	Zanthoxylum (Sichuan pepper)
豙	豙				yì	ngjɨjH	ng-	-jɨj	departing	*ŋət-s {*[ŋ]ə[t]-s}	enraged boar
飛	飞	ひ	ひ	비	fēi	pjɨj	p-	-jɨj	even	*Cə.pər {*Cə.pə[r]} (dial. *-r › *-j)	fly (v.)
非	非	ひ	ひ	비비	fēi	pjɨj	p-	-jɨj	even	*pəj	is not
扉	扉	ひ	ひ	비비	fēi	pjɨj	p-	-jɨj	even	*pəj {*pə[j]}	wooden door-leaf
誹	诽	ひ	ひ		fěi	pjɨj	p-	-jɨj	even	*pəj {*pə[j]}	slander
匪	匪	ひ	ひ	비비분	fěi	pjɨjX	p-	-jɨj	rising	*pəjʔ	bamboo basket
蜚	蜚	ひ	ひ	비비	fěi	pjɨjX	p-	-jɨj	rising	*pəjʔ	noxious insect
沸	沸	ひ	ひ	비불배불	fèi	pjɨjH	p-	-jɨj	departing	*Nə.put-s {*Nə.p[u][t]-s}	boil (v.)
妃	妃	ひ	ひ	비배배	fēi	phjɨj	ph-	-jɨj	even	*pʰəj	consort; match
朏	朏	ひ	ひ	비	fěi	phjɨjX	ph-	-jɨj	rising	*pʰəjʔ {*pʰ[ə]jʔ}	new light of the moon
昲	昲			비	fèi	phjɨjH	ph-	-jɨj	departing	*pʰut-s	bake in the sun
費	费	ひ	ひ	비	fèi	phjɨjH	ph-	-jɨj	departing	*pʰut-s	squander
愾	忾	かい	かい	개희흘희	kài	xjɨjH	x-	-jɨj	departing	*qʰəp-s	sigh; angry
希	希	け	き	희치	xī	xjɨj	x-	-jɨj	even	*qʰəj	thin, sparse
豨	豨			희	xī	xjɨj	x-	-jɨj	even	*qʰəj {*[qʰ]əj}	swine
豨	豨			희	xǐ	xjɨjX	x-	-jɨj	rising	*qʰəjʔ	swine
狶	狶				xǐ	xjɨjX	x-	-jɨj	rising	*qʰəjʔ	swine
氣	气	け	き	기희	xì	xjɨjH	x-	-jɨj	departing	*qʰət-s	to present food
塈	塈				xì	xjɨjH	x-	-jɨj	departing	*qʰət-s {*qʰə[t]-s}	rest (v.)
慇	慇			은	yīn	ʔjɨn	ʔ-	-jɨn	even	*ʔən {*ʔə[n]}	grieved
殷	殷	おん	いん	은은은안은안	yīn	ʔjɨn	ʔ-	-jɨn	even	*ʔər	(dynastic name)
殷	殷	おん	いん	은은은안은안	yīn	ʔjɨn	ʔ-	-jɨn	even	*ʔər {*ʔə[r]}	ample, many
隱	隐	おん	いん		yǐn	ʔjɨnX	ʔ-	-jɨn	rising	*ʔənʔ {*[ʔ](r)ə[n]ʔ}	grieved; suffering
隱	隐	おん	いん	은은	yǐn	ʔjɨnX	ʔ-	-jɨn	rising	*ʔənʔ {*[ʔ](r)ə[n]ʔ}	conceal
隱	隐	おん	いん	은은	yìn	ʔjɨnH	ʔ-	-jɨn	departing	*ʔərʔ-s {*ʔ(r)ə[r]ʔ-s}	lean on
慬	慬			근	jìn	gjɨn	g-	-jɨn	even	*ɡər {*[ɡ]ər}	courageous
近	近	ごん	きん	근근기	jìn	gjɨnH	g-	-jɨn	departing	*s-N-kərʔ-s	be near to (v.t.)#
近	近	ごん	きん	근근기	jìn	gjɨnH	g-	-jɨn	departing	*s-N-kərʔ-s	be near to (v.t.)#
近	近	ごん	きん	근근기	jìn	gjɨnX	g-	-jɨn	rising	*ɡərʔ {*N-kərʔ}	near
勤	勤	ごん	きん	근근	qín	gjɨn	g-	-jɨn	even	*ɡər {*[ɡ]ər}	toil, diligent, devoted
懃	懃	ごん	きん	근근	qín	gjɨn	g-	-jɨn	even	*ɡər {*[ɡ]ər}	toil, diligent, devoted
筋	筋	こん	きん	근	jīn	kjɨn	k-	-jɨn	even	*C.kən {*C.[k]ə[n]}	sinew
斤	斤	こん	きん	근근근	jīn	kjɨn	k-	-jɨn	even	*kər {*[k]ər}	axe; catty
謹	谨	こん	きん	근근	jǐn	kjɨnX	k-	-jɨn	rising	*kərʔ {*kə[r]ʔ}	attentive, careful
堇	堇			근근	jǐn	kjɨnX	k-	-jɨn	rising	*kərʔ {*kə[r]ʔ}	(a kind of vegetable)
蓳	蓳			근근근근	jìn	kjɨnH	k-	-jɨn	departing	*kər-s {*kə[r]-s}	aconite
蓳	蓳			근근근근	jìn	kjɨnX	k-	-jɨn	rising	*kərʔ {*kə[r]ʔ}	(kind of vegetable)
垠	垠	ごん	ぎん	은은	yín	ngjɨn	ng-	-jɨn	even	*ŋər {*[ŋ]ər}	raised border, dike
圻	圻	げ	き	기은은	yín	ngjɨn	ng-	-jɨn	even	*ŋər {*[ŋ]ər}	raised border, dike
昕	昕			흔흔	xīn	xjɨn	x-	-jɨn	even	*qʰər	dawn
欣	欣	こん	きん	흔흔	xīn	xjɨn	x-	-jɨn	even	*qʰər	rejoice
乞	乞	こち,け	きつ,き	걸기	qǐ	khjɨt	kh-	-jɨt	entering	*C.qʰət	beg, ask
仡	仡	こち	きつ	흘올	yì	ngjɨt	ng-	-jɨt	entering	*ŋət {*[ŋ]ət}	great, powerful
於	于	お	よ	어오우	yú	ʔjo	ʔ-	-jo	even	*ʔa {*[ʔ]a}	at (locative preposition)
除	除	じょ	ちょ	제저여제	chú	drjo	dr-	-jo	even	*l‹r›a	remove
除	除	じょ	ちょ	제저여제	zhù	drjoH	dr-	-jo	departing	*lra-s	pass away
紵	纻			저	zhù	drjoX	dr-	-jo	rising	*mə-draʔ	ramie; flax
沮	沮	そ	しょ	저저저전	jǔ	dzjoX	dz-	-jo	rising	*dzaʔ {*[dz]aʔ}	stop, prevent
鋤	锄	じょ	そ	서서	chú	dzrjo	dzr-	-jo	even	*Cə-l‹r›a (MC reflects *s-l‹r›a)	hoe (n.)
鋤	锄	じょ	そ	서서	chú	dzrjo	dzr-	-jo	even	*s-l‹r›a	to hoe
助	助	じょ	そ	조서	zhù	dzrjoH	dzr-	-jo	departing	*Cə.dzra-s {*Cə.[dz]ra-s}	help (v.)
署	署	じょ	しょ	서서서	shǔ	dzyoH	dzy-	-jo	departing	*m-taʔ-s	to place; position
遽	遽			거거거	jù	gjoH	g-	-jo	departing	*ɡa-s {*[ɡ](r)a(k)-s}	post horse or carriage
粔	粔			거	jù	gjoX	g-	-jo	rising	*N-kaʔ {*[N]-k(r)aʔ}	cakes
渠	渠			거거거	qú	gjo	g-	-jo	even	*ɡa {*[ɡ](r)a}	canal
車	车	しゃ	しゃ	거차	jū	kjo	k-	-jo	even	*C.qa {*C.q(r)a}	chariot
居	居	こ	きょ	거기거	jū	kjo	k-	-jo	even	*ka {*k(r)a}	squat; stay, dwell
居	居	こ	きょ	거기거	jū	kjo	k-	-jo	even	*ka	final particle
居	居	こ	きょ	거기거	jū	kjoH	k-	-jo	departing	*ka-s {*k(r)a-s}	dwelling (rh.)
舉	举			거	jǔ	kjoX	k-	-jo	rising	*C.qaʔ {*C.q(r)aʔ}	lift, raise
莒	莒			거	jǔ	kjoX	k-	-jo	rising	*k.raʔ (dial. › kraʔ)	plant; place name
舉	举			거	jǔ	kjoX	k-	-jo	rising	*kaʔ {*[k](r)aʔ}	all
鋸	锯	こ	きょ	거	jù	kjoH	k-	-jo	departing	*ka-s {*k(r)a-s}	saw (n.)
據	据			거극거	jù	kjoH	k-	-jo	departing	*ka-s {*k(r)a(k)-s}	grasp; depend on
