TC	SC	Eumhun	PY	MC	MCI	MCF	MCT	OC	Gloss
𥁑	𥁑		mì	mjit	m-	-jit	entering	*mit {*mi[t]}	wipe a vessel clean (SW)
謐	谧	고요할 밀	mì	mjit	m-	-jit	entering	*mit {*mi[t]}	gentle, mild
彃	彃	쏠 필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	shoot
篳	筚	사립문 필, 사립짝 필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	wattle
蹕	跸	길 치울 필, 벽제할 필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	prohibit
必	必		bì	pjit	p-	-jit	entering	*pit {*pi[t]}	necessarily
畢	毕	마칠 필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	wooden fork
畢	毕	마칠 필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	bird-net
韠	韠	폐슬 필, 슬갑 필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	knee cover
畢	毕	마칠 필	bì	pjit	p-	-jit	entering	*pit {*pi[t]}	finish (v.)
匹	匹	필 필, 집오리 목, 짝 필, 비유할 비	pǐ	phjit	ph-	-jit	entering	*pʰit {*pʰi[t]}	one of a pair
幽	幽	그윽할 유, 검을 유	yōu	ʔjiw	ʔ-	-jiw	even	*ʔiw {*[ʔ](r)iw}	dark; secluded
幼	幼	어릴 유, 그윽할 요	yòu	ʔjiwH	ʔ-	-jiw	departing	*ʔiw-s {*[ʔ](r)iw-s}	young
摎	摎	맬 규, 묶을 규, 찾을 교, 복잡할 료	jiū	kjiw	k-	-jiw	even	*k-riw (dial. › kriw)	tie around, strangle
樛	樛	휠 규	jiū	kjiw	k-	-jiw	even	*k-riw (dial. › kriw)	down-curving (sc. branch)
樛	樛		jiū	kjiw	k-	-jiw	even	*k-riw (dial. › kriw)	twist (v.)
丩	丩		jiū	kjiw	k-	-jiw	even	*kriw	to twist
糾	纠	꼴 규, 느직할 교, 얽힐 규, 삿갓 가뜬할 교	jiū	kjiwX	k-	-jiw	rising	*k‹r›iwʔ	plait, unite
謬	谬	그릇될 류, 그릇될 무, 그르칠 류	miù	mjiwH	m-	-jiw	departing	*mə-riw-s (dial. › *mriw-s)	lie, error ‹ 'twist the truth'
依	依		yī	ʔjɨj	ʔ-	-jɨj	even	*ʔəj	lean upon
衣	衣	옷 의	yī	ʔjɨj	ʔ-	-jɨj	even	*ʔəj {*ʔ(r)əj}	clothes
偯	偯	훌쩍거릴 의, 울 의	yǐ	ʔjɨjX	ʔ-	-jɨj	rising	*ʔəjʔ	extended wailing
衣	衣	옷 의	yì	ʔjɨjH	ʔ-	-jɨj	departing	*ʔəj-s	wear (v.t.)
肥	肥	살찔 비, 가벼이 여길 비	féi	bjɨj	b-	-jɨj	even	*bər {*[b][ə]r}	fat (adj.)
怫	怫	발끈할 비, 답답할 불, 어그러질 패, 거스를 패	fú	bjɨjH	b-	-jɨj	departing	*but-s {*[b]ut-s}	grieved
蟣	虮		qí	gjɨj	g-	-jɨj	even	*C.ɡəj {*C.[ɡ]əj}	[not in GSR:] leech
旂	旂	기 기	qí	gjɨj	g-	-jɨj	even	*C.ɢər {*C.[ɢ]ər}	banner; flag
幾	几	기미 기, 몇 기	jī	kjɨj	k-	-jɨj	even	*kəj	small; almost
機	机	베틀 기	jī	kjɨj	k-	-jɨj	even	*kəj	mechanism
饑	饑	주릴 기	jī	kjɨj	k-	-jɨj	even	*kəj {*kə[j]}	famine
幾	几	기미 기, 몇 기	jǐ	kjɨjX	k-	-jɨj	rising	*kəjʔ	few; how many
既	既	이미 기, 녹미 희	jì	kjɨjH	k-	-jɨj	departing	*kət-s {*[k]ə[t]-s}	complete (v.)
豈	岂	어찌 기, 즐길 개, 개가 개	qǐ	khjɨjX	kh-	-jɨj	rising	*C.qʰəjʔ	how
气	气		qì	khjɨjH	kh-	-jɨj	departing	*C.qʰəp-s	(inhaled thing:) breath, air, vapors
氣	气	기운 기, 보낼 희	qì	khjɨjH	kh-	-jɨj	departing	*kʰəp-s {*[k]ʰəp-s}	cloudy vapors
微	微	작을 미	wēi	mjɨj	m-	-jɨj	even	*məj	small
尾	尾	꼬리 미	wěi	mjɨjX	m-	-jɨj	rising	*məjʔ {*[m]əjʔ}	tail
亹	亹	힘쓸 미, 물문 문, 골어귀 문	wěi	mjɨjX	m-	-jɨj	rising	*mərʔ	diligent
味	味	맛 미, 성 말, 광택 매	wèi	mjɨjH	m-	-jɨj	departing	*mət-s {*m[ə]t-s}	taste (n.)
未	未	아닐 미	wèi	mjɨjH	m-	-jɨj	departing	*mət-s {*m[ə]t-s}	not yet
未	未	아닐 미	wèi	mjɨjH	m-	-jɨj	departing	*mət-s {*m[ə]t-s}	8th earthly branch
螘	螘	개미 의	yǐ	ngjɨjX	ng-	-jɨj	rising	*m-qʰəjʔ	ant
藙	藙		yì	ngjɨjH	ng-	-jɨj	departing	*ŋət-s {*[ŋ]ə[t]-s}	Zanthoxylum (Sichuan pepper)
豙	豙		yì	ngjɨjH	ng-	-jɨj	departing	*ŋət-s {*[ŋ]ə[t]-s}	enraged boar
飛	飞	날 비	fēi	pjɨj	p-	-jɨj	even	*Cə.pər {*Cə.pə[r]} (dial. *-r › *-j)	fly (v.)
非	非	아닐 비, 비방할 비	fēi	pjɨj	p-	-jɨj	even	*pəj	is not
扉	扉	삽짝 비, 사립문 비	fēi	pjɨj	p-	-jɨj	even	*pəj {*pə[j]}	wooden door-leaf
誹	诽		fěi	pjɨj	p-	-jɨj	even	*pəj {*pə[j]}	slander
匪	匪	비적 비, 곁마 비, 나눌 분	fěi	pjɨjX	p-	-jɨj	rising	*pəjʔ	bamboo basket
蜚	蜚	바퀴 비, 날 비	fěi	pjɨjX	p-	-jɨj	rising	*pəjʔ	noxious insect
沸	沸	끓을 비, 샘솟는 모양 불, 어지럽게 날 배, 용솟음할 불	fèi	pjɨjH	p-	-jɨj	departing	*Nə.put-s {*Nə.p[u][t]-s}	boil (v.)
妃	妃	왕비 비, 짝할 배, 짝지을 배	fēi	phjɨj	ph-	-jɨj	even	*pʰəj	consort; match
朏	朏	초승달 비	fěi	phjɨjX	ph-	-jɨj	rising	*pʰəjʔ {*pʰ[ə]jʔ}	new light of the moon
昲	昲	말릴 비	fèi	phjɨjH	ph-	-jɨj	departing	*pʰut-s	bake in the sun
費	费	쓸 비	fèi	phjɨjH	ph-	-jɨj	departing	*pʰut-s	squander
愾	忾	성낼 개, 한숨쉴 희, 이를 흘, 한숨 쉴 희	kài	xjɨjH	x-	-jɨj	departing	*qʰəp-s	sigh; angry
希	希	바랄 희, 칡베 치	xī	xjɨj	x-	-jɨj	even	*qʰəj	thin, sparse
豨	豨	멧돼지 희	xī	xjɨj	x-	-jɨj	even	*qʰəj {*[qʰ]əj}	swine
豨	豨	멧돼지 희	xǐ	xjɨjX	x-	-jɨj	rising	*qʰəjʔ	swine
狶	狶		xǐ	xjɨjX	x-	-jɨj	rising	*qʰəjʔ	swine
氣	气	기운 기, 보낼 희	xì	xjɨjH	x-	-jɨj	departing	*qʰət-s	to present food
塈	塈		xì	xjɨjH	x-	-jɨj	departing	*qʰət-s {*qʰə[t]-s}	rest (v.)
慇	慇	괴로워할 은	yīn	ʔjɨn	ʔ-	-jɨn	even	*ʔən {*ʔə[n]}	grieved
殷	殷	성할 은, 소리 은, 받을 은, 검붉은 빛 안, 은나라 은, 검붉은빛 안	yīn	ʔjɨn	ʔ-	-jɨn	even	*ʔər	(dynastic name)
殷	殷	성할 은, 소리 은, 받을 은, 검붉은 빛 안, 은나라 은, 검붉은빛 안	yīn	ʔjɨn	ʔ-	-jɨn	even	*ʔər {*ʔə[r]}	ample, many
隱	隐		yǐn	ʔjɨnX	ʔ-	-jɨn	rising	*ʔənʔ {*[ʔ](r)ə[n]ʔ}	grieved; suffering
隱	隐	숨을 은, 기댈 은	yǐn	ʔjɨnX	ʔ-	-jɨn	rising	*ʔənʔ {*[ʔ](r)ə[n]ʔ}	conceal
隱	隐	숨을 은, 기댈 은	yìn	ʔjɨnH	ʔ-	-jɨn	departing	*ʔərʔ-s {*ʔ(r)ə[r]ʔ-s}	lean on
慬	慬	근심할 근	jìn	gjɨn	g-	-jɨn	even	*ɡər {*[ɡ]ər}	courageous
近	近	가까울 근, 가까이 할 근, 어조사 기	jìn	gjɨnH	g-	-jɨn	departing	*s-N-kərʔ-s	be near to (v.t.)#
近	近	가까울 근, 가까이 할 근, 어조사 기	jìn	gjɨnH	g-	-jɨn	departing	*s-N-kərʔ-s	be near to (v.t.)#
近	近	가까울 근, 가까이 할 근, 어조사 기	jìn	gjɨnX	g-	-jɨn	rising	*ɡərʔ {*N-kərʔ}	near
勤	勤	부지런할 근, 근심할 근	qín	gjɨn	g-	-jɨn	even	*ɡər {*[ɡ]ər}	toil, diligent, devoted
懃	懃	살뜰할 근, 은근할 근	qín	gjɨn	g-	-jɨn	even	*ɡər {*[ɡ]ər}	toil, diligent, devoted
筋	筋	힘줄 근	jīn	kjɨn	k-	-jɨn	even	*C.kən {*C.[k]ə[n]}	sinew
斤	斤	도끼 근, 밝게 살필 근, 근 근	jīn	kjɨn	k-	-jɨn	even	*kər {*[k]ər}	axe; catty
謹	谨	삼갈 근, 찰흙 근	jǐn	kjɨnX	k-	-jɨn	rising	*kərʔ {*kə[r]ʔ}	attentive, careful
堇	堇	진흙 근, 조금 근	jǐn	kjɨnX	k-	-jɨn	rising	*kərʔ {*kə[r]ʔ}	(a kind of vegetable)
蓳	蓳	제비꽃 근, 바곳 근, 진흙 근, 조금 근	jìn	kjɨnH	k-	-jɨn	departing	*kər-s {*kə[r]-s}	aconite
蓳	蓳	제비꽃 근, 바곳 근, 진흙 근, 조금 근	jìn	kjɨnX	k-	-jɨn	rising	*kərʔ {*kə[r]ʔ}	(kind of vegetable)
垠	垠	끝 은, 지경 은	yín	ngjɨn	ng-	-jɨn	even	*ŋər {*[ŋ]ər}	raised border, dike
圻	圻	경기 기, 변경 은, 지경 은	yín	ngjɨn	ng-	-jɨn	even	*ŋər {*[ŋ]ər}	raised border, dike
昕	昕	아침 흔, 새벽 흔	xīn	xjɨn	x-	-jɨn	even	*qʰər	dawn
欣	欣	기뻐할 흔, 기쁠 흔	xīn	xjɨn	x-	-jɨn	even	*qʰər	rejoice
乞	乞	빌 걸, 줄 기	qǐ	khjɨt	kh-	-jɨt	entering	*C.qʰət	beg, ask
仡	仡	날랠 흘, 흔들릴 올	yì	ngjɨt	ng-	-jɨt	entering	*ŋət {*[ŋ]ət}	great, powerful
於	于	어조사 어, 탄식할 오, 어조사 우	yú	ʔjo	ʔ-	-jo	even	*ʔa {*[ʔ]a}	at (locative preposition)
除	除	덜 제, 덜 저, 사월 여, 갈 제	chú	drjo	dr-	-jo	even	*l‹r›a	remove
除	除	덜 제, 덜 저, 사월 여, 갈 제	zhù	drjoH	dr-	-jo	departing	*lra-s	pass away
紵	纻	모시 저	zhù	drjoX	dr-	-jo	rising	*mə-draʔ	ramie; flax
沮	沮	막을 저, 적실 저, 강이름 저, 작은내 전	jǔ	dzjoX	dz-	-jo	rising	*dzaʔ {*[dz]aʔ}	stop, prevent
鋤	锄	호미 서, 어긋날 서	chú	dzrjo	dzr-	-jo	even	*Cə-l‹r›a (MC reflects *s-l‹r›a)	hoe (n.)
鋤	锄	호미 서, 어긋날 서	chú	dzrjo	dzr-	-jo	even	*s-l‹r›a	to hoe
助	助	도울 조, 없앨 서	zhù	dzrjoH	dzr-	-jo	departing	*Cə.dzra-s {*Cə.[dz]ra-s}	help (v.)
署	署	나눌 서, 마을 서, 관청 서	shǔ	dzyoH	dzy-	-jo	departing	*m-taʔ-s	to place; position
遽	遽	갑자기 거, 패랭이꽃 거, 급히 거	jù	gjoH	g-	-jo	departing	*ɡa-s {*[ɡ](r)a(k)-s}	post horse or carriage
粔	粔	중배끼 거	jù	gjoX	g-	-jo	rising	*N-kaʔ {*[N]-k(r)aʔ}	cakes
渠	渠	도랑 거, 어찌 거, 개천 거	qú	gjo	g-	-jo	even	*ɡa {*[ɡ](r)a}	canal
車	车	수레 거, 수레 차	jū	kjo	k-	-jo	even	*C.qa {*C.q(r)a}	chariot
居	居	있을 거, 어조사 기, 살 거	jū	kjo	k-	-jo	even	*ka {*k(r)a}	squat; stay, dwell
居	居	있을 거, 어조사 기, 살 거	jū	kjo	k-	-jo	even	*ka	final particle
居	居	있을 거, 어조사 기, 살 거	jū	kjoH	k-	-jo	departing	*ka-s {*k(r)a-s}	dwelling (rh.)
舉	举	들 거	jǔ	kjoX	k-	-jo	rising	*C.qaʔ {*C.q(r)aʔ}	lift, raise
莒	莒	감자 거	jǔ	kjoX	k-	-jo	rising	*k.raʔ (dial. › kraʔ)	plant; place name
舉	举	들 거	jǔ	kjoX	k-	-jo	rising	*kaʔ {*[k](r)aʔ}	all
鋸	锯	톱 거	jù	kjoH	k-	-jo	departing	*ka-s {*k(r)a-s}	saw (n.)
據	据	의거할 거, 움킬 극, 근거 거	jù	kjoH	k-	-jo	departing	*ka-s {*k(r)a(k)-s}	grasp; depend on
去	去	갈 거, 덜 거	qù	khjoH	kh-	-jo	departing	*kʰaʔ-s {*[k]ʰ(r)aʔ-s}	depart
虛	虚	빌 허	xū	khjo	kh-	-jo	even	*C.qʰa {*C.qʰ(r)a}	hill, mound; abandoned city
墟	墟	언덕 허, 터 허	xū	khjo	kh-	-jo	even	*C.qʰa {*C.qʰ(r)a}	hill, mound; abandoned city
廬	庐	오두막 려, 창자루 로, 농막집 려, 창 자루 로	lú	ljo	l-	-jo	even	*ra {*[r]a}	hut; inn; to lodge
藘	藘	꼭두서니 려	lǘ	ljo	l-	-jo	even	*ra {*[r]a}	rúlǘ ‹ nyo-ljo ‹ *na.la 'madder (plant)'
儢	儢		lǚ	ljoX	l-	-jo	rising	*raʔ {*[r]aʔ}	sluggish; unenergetic
呂	吕	등뼈 려, 성씨 려, 법칙 려	lǚ	ljoX	l-	-jo	rising	*raʔ {*[r]aʔ}	spine; pitch-pipe
旅	旅	나그네 려	lǚ	ljoX	l-	-jo	rising	*raʔ {*[r]aʔ}	military unit of 500 men; to go
慮	虑	생각할 려, 조사할 록, 사실할 록	lǜ	ljoH	l-	-jo	departing	*ra-s {*[r]a-s}	think, consider
鋙	铻	어긋날 어, 호미 어, 산 이름 오	yú	ngjo	ng-	-jo	even	*ŋa {*ŋ(r)a}	dzrjo-ngjo irregular, uneven
漁	渔	고기잡을 어, 고기 잡을 어	yú	ngjo	ng-	-jo	even	*ŋa {*[ŋ](r)a}	to fish
䱷	䲣	고기잡을 어, 고기 잡을 어	yú	ngjo	ng-	-jo	even	*ŋa {*[ŋ](r)a}	to fish
語	语	말씀 어, 알릴 어	yǔ	ngjoX	ng-	-jo	rising	*ŋaʔ {*ŋ(r)aʔ}	speak
鋙	铻	어긋날 어, 호미 어, 산 이름 오	yǔ	ngjoX	ng-	-jo	rising	*ŋaʔ {*ŋ(r)aʔ}	dzrjoX-ngjoX irregular, uneven
御	御	어거할 어, 막을 어, 맞을 아, 거느릴 어	yù	ngjoH	ng-	-jo	departing	*ŋa-s {*[ŋ](r)a(ʔ)-s} (‹ uvular?)	drive a chariot
語	语	말씀 어, 알릴 어	yù	ngjoH	ng-	-jo	departing	*ŋaʔ-s {*ŋ(r)aʔ-s}	tell
禦	御	막을 어	yù	ngjoX	ng-	-jo	rising	*m-qʰaʔ {*m-qʰ(r)aʔ}	withstand; hinder
御	御	어거할 어, 막을 어, 맞을 아, 거느릴 어	yù	ngjoX	ng-	-jo	rising	*ŋa-s {*[ŋ](r)a(ʔ)-s} (‹ uvular?)	drive a chariot
籹	籹	중배끼 여	nǚ	nrjoX	nr-	-jo	rising	*nraʔ	gjoX-nrjoX (a kind of cake)
女	女	여자 녀, 너 여, 짝지을 녀	nǚ	nrjoX	nr-	-jo	rising	*nraʔ	female
女	女	여자 녀, 너 여, 짝지을 녀	nǜ	nrjoH	nr-	-jo	departing	*nraʔ-s	give as a wife
洳	洳	강 이름 여, 잠길 여	rú	nyo	ny-	-jo	even	*na	name of a river
如	如	같을 여, 말 이을 이	rú	nyo	ny-	-jo	even	*na	go to
如	如	같을 여, 말 이을 이	rú	nyo	ny-	-jo	even	*na	as, like, if
茹	茹	먹을 여	rú	nyoH	ny-	-jo	departing	*naʔ-s	swallow, eat
茹	茹	먹을 여	rú	nyoX	ny-	-jo	rising	*naʔ	swallow, eat
汝	汝	너 여	rǔ	nyoX	ny-	-jo	rising	*naʔ	you (sg.)
洳	洳	강 이름 여, 잠길 여	rù	nyoH	ny-	-jo	departing	*na-s	wet ground
湑	湑	거를 서	xǔ	sjoX	s-	-jo	rising	*s-raʔ (dial. › s-)	to strain (spirits)
絮	絮	솜 서, 간 맞출 처, 실 헝클어질 나	xù	sjoH	s-	-jo	departing	*s-na-s	raw silk, floss
疋	疋	발 소, 바를 아, 짝 필, 필 필	shū	srjo	sr-	-jo	even	*sra	foot
疏	疏	트일 소, 거칠 소, 적을 소, 소통할 소	shū	srjo	sr-	-jo	even	*sra	wide apart
蔬	蔬	나물 소, 버섯 소, 쌀알 소	shū	srjo	sr-	-jo	even	*sra	vegetable, grain
梳	梳	빗 소, 얼레빗 소	shū	srjo	sr-	-jo	even	*sra	comb
疎	疎		shū	srjo	sr-	-jo	even	*sra	wide apart
所	所	바 소	suǒ	srjoX	sr-	-jo	rising	*s-qʰraʔ	place; that which
紓	纾	느슨할 서	shū	syo	sy-	-jo	even	*l̥a	leisurely
舒	舒	펼 서	shū	syo	sy-	-jo	even	*l̥a	slow, easy
書	书	글 서	shū	syo	sy-	-jo	even	*s-ta	write
鼠	鼠	쥐 서	shǔ	syoX	sy-	-jo	rising	*l̥aʔ {*[l̥]aʔ}	rat
癙	癙	속 끓일 서	shǔ	syoX	sy-	-jo	rising	*l̥aʔ {*[l̥]aʔ}	hidden suffering
黍	黍	기장 서	shǔ	syoX	sy-	-jo	rising	*s-tʰaʔ	Panicum miliaceum (glutinous)
暑	暑	더울 서	shǔ	syoX	sy-	-jo	rising	*s-tʰaʔ	heat
恕	恕	용서할 서	shù	syoH	sy-	-jo	departing	*n̥a-s	indulgent
庶	庶	뭇 서, 제거할 서, 여러 서, 제거할 자	shù	syoH	sy-	-jo	departing	*s-tak-s	numerous; commoner
豬	猪	돼지 저, 암퇘지 차	zhū	trjo	tr-	-jo	even	*tra	pig
褚	褚	핫옷 저, 솜옷 저	zhǔ	trjoX	tr-	-jo	rising	*traʔ	to store, to heap
著	着	드러날 저, 저축할 저, 붙일 착, 뜰 저, 나타날 저, 붙을 착	zhù	trjoH	tr-	-jo	departing	*t‹r›ak-s	place (n.); visible
攄	摅	펼 터, 펼 처	shū	trhjo	trh-	-jo	even	*r̥a	extend
且	且	또 차, 도마 저, 공경할 저, 공경스러울 저, 도마 조	jū	tsjo	ts-	-jo	even	*tsa	[final particle]
鴡	鴡	물수리 저	jū	tshjo	tsh-	-jo	even	*tsʰa {*[tsʰ]a}	鴡鳩 an aquatic bird
砠	砠	돌산 저, 울퉁불퉁할 조	jū	tshjo	tsh-	-jo	even	*tsʰa {*[tsʰ]a}	rock covered with earth
岨	岨	돌산 저, 울퉁불퉁할 저, 울퉁불퉁할 조	qū	tshjo	tsh-	-jo	even	*tsʰa {*[tsʰ]a}	rock covered with earth
阻	阻	막힐 조, 비껴 걸을 조	zǔ	tsrjoX	tsr-	-jo	rising	*tsraʔ {*[ts]raʔ}	filled with obstacles
初	初	처음 초	chū	tsrhjo	tsrh-	-jo	even	*tsʰra {*[ts]ʰra}	beginning
楚	楚	모형 초, 초나라 초, 회초리 초	chǔ	tsrhjoX	tsrh-	-jo	rising	*s.r̥aʔ	thorns
楚	楚	모형 초, 초나라 초, 회초리 초	chǔ	tsrhjoX	tsrh-	-jo	rising	*s.r̥aʔ {*[s.r̥]aʔ}	arrange in order
楚	楚	모형 초, 초나라 초, 회초리 초	chǔ	tsrhjoX	tsrh-	-jo	rising	*s.r̥aʔ	name of a state
諸	诸	모든 제, 모든 저, 어조사 저, 모두 제, 김치 저	zhū	tsyo	tsy-	-jo	even	*ta	many
諸	诸	모든 제, 모든 저, 어조사 저, 모두 제, 김치 저	zhū	tsyo	tsy-	-jo	even	*ta ‹ *tə ʔa 之於	(fusion of 之 + 於)
渚	渚	물가 저	zhǔ	tsyoX	tsy-	-jo	rising	*taʔ	islet
煑	煑	삶을 자, 삶을 저	zhǔ	tsyoX	tsy-	-jo	rising	*taʔ	boil, cook
䰞	䰞		zhǔ	tsyoX	tsy-	-jo	rising	*taʔ	boil, cook
陼	陼	삼각주 저, 물가 도, 역참 이름 도, 물가 저, 담장 도	zhǔ	tsyoX	tsy-	-jo	rising	*taʔ	islet
煮	煮	삶을 자, 삶을 저	zhǔ	tsyoX	tsy-	-jo	rising	*taʔ {*(C.)taʔ}	boil, cook
杵	杵	공이 저	chǔ	tsyhoX	tsyh-	-jo	rising	*t.qʰaʔ	pestle
處	处	머무를 처, 곳 처, 사람 이름 거	chǔ	tsyhoX	tsyh-	-jo	rising	*t.qʰaʔ	be at
處	处		chù	tsyhoH	tsyh-	-jo	departing	*t.qʰaʔ-s	place (n.)
虛	虚	빌 허	xū	xjo	x-	-jo	even	*qʰa {*qʰ(r)a}	empty
許	许	허락할 허, 이영차 호	xǔ	xjoX	x-	-jo	rising	*qʰaʔ {*qʰ(r)aʔ}	allow
余	余	나 여, 남을 여	yú	yo	y-	-jo	even	*la	1sg., prob. a polite form
餘	余	남을 여	yú	yo	y-	-jo	even	*la	surplus
予	予	나 여, 줄 여	yú	yo	y-	-jo	even	*laʔ	I, we
輿	舆	수레 여, 가마 여	yú	yo	y-	-jo	even	*m-qa {*m-q(r)a}	vehicle, carriage; carry on shoulders
舁	舁	마주 들 여, 들 거	yú	yoX	y-	-jo	rising	*C.ɢaʔ	give
予	予	나 여, 줄 여	yǔ	yoX	y-	-jo	rising	*C.ɢaʔ	give; together with
與	与	줄 여, 참여할 여, 어조사 여, 더불 여	yǔ	yoX	y-	-jo	rising	*C.ɢaʔ	give; for; and
譽	誉	기릴 예, 명예 예	yù	yo	y-	-jo	even	*m-qa {*m-q(r)a}	praise (v.)
豫	豫	미리 예, 펼 서	yù	yoH	y-	-jo	departing	*laʔ-s	go on tour
豫	豫	미리 예, 펼 서	yù	yoH	y-	-jo	departing	*laʔ-s	go on inspection tour
譽	誉		yù	yoH	y-	-jo	departing	*m-qa-s {*m-q(r)a-s}	praise, renown
鸒	鸒	갈가마귀 여, 떼까마귀 여	yù	yoH	y-	-jo	departing	*m-qa-s {*m-q(r)a-s}	a kind of crow
譽	誉	기릴 예, 명예 예	yù	yoH	y-	-jo	departing	*ɢa-s {*[ɢ](r)a-s}	joy
與	与	줄 여, 참여할 여, 어조사 여, 더불 여	yù	yoH	y-	-jo	departing	*ɢaʔ-s	participate in
邪	邪	간사할 사, 고을 이름 야, 나머지 여, 느릿할 서, 그런가 야	xú	zjo	z-	-jo	even	*sə.la	walk slowly
徐	徐	천천할 서, 천천히 할 서	xú	zjo	z-	-jo	even	*sə.la	walk slowly
緒	绪	실마리 서, 나머지 사	xù	zjoX	z-	-jo	rising	*s-m-taʔ	arrange in order
敘	叙	차례 서, 펼 서	xù	zjoX	z-	-jo	rising	*s-m-taʔ	order (v.)
序	序	차례 서	xù	zjoX	z-	-jo	rising	*sə.laʔ {*[sə.l]aʔ}	walls at side of palace
抒	抒	풀 서	shū	zyoX	zy-	-jo	rising	*Cə-laʔ	remove (v.)
紓	纾	느슨할 서	shū	zyoX	zy-	-jo	rising	*Cə.laʔ	to be remiss
吠	吠	짖을 폐	fèi	bjojH	b-	-joj	departing	*Cə.bot-s {*Cə.[b]o[t]-s}	bark (v.)
乂	乂	벨 예, 징계할 애, 어질 예	yì	ngjojH	ng-	-joj	departing	*ŋat-s {*ŋa[t]-s}	mow, cut (v.)
乂	乂	벨 예, 징계할 애, 어질 예	yì	ngjojH	ng-	-joj	departing	*ŋat-s {*ŋa[t]-s}	mow; regulate
廢	废	폐할 폐, 버릴 폐	fèi	pjojH	p-	-joj	departing	*pap-s	cast aside
祓	祓	푸닥거리할 불, 나라 이름 폐	fèi	pjojH	p-	-joj	departing	*pot-s {*po[t]-s}	expel noxious influences
肺	肺	허파 폐, 무성한모양 패, 성할 패	fèi	phjojH	ph-	-joj	departing	*pʰot-s {*pʰo[t]-s}	lung
凡	凡	무릇 범	fán	bjom	b-	-jom	even	*brom {*[b]rom}	in every case
範	范	법 범	fàn	bjomX	b-	-jom	rising	*bomʔ {*[b](r)omʔ}	casting mold
范	范	풀 이름 범, 성씨 범, 법 범	fàn	bjomX	b-	-jom	rising	*bomʔ {*(Cə.)[b](r)omʔ}	( surname)
范	范	풀 이름 범, 성씨 범, 법 범	fàn	bjomX	b-	-jom	rising	*m-pʰomʔ {*[m-pʰ](r)omʔ}	bee
欠	欠	하품 흠, 하품 검, 이지러질 결	qiàn	khjomH	kh-	-jom	departing	*kʰom-s {*[k]ʰ(r)om-s}	yawn
泛	泛	뜰 범, 엎을 봉, 물소리 핍, 물소리 법	fàn	phjomH	ph-	-jom	departing	*pʰom-s {*pʰ(r)[o]m-s}	to float
偃	偃	누울 언, 쓰러질 언	yǎn	ʔjonX	ʔ-	-jon	rising	*ʔanʔ {*ʔa[n]ʔ}	bend down
煩	烦	번거로울 번	fán	bjon	b-	-jon	even	*ban {*[b]a[n]}	troubled
燔	燔	구울 번, 사를 번	fán	bjon	b-	-jon	even	*bar {*[b]ar}	burn, roast
蕃	蕃	우거질 번, 고을 이름 피, 불을 번	fán	bjon	b-	-jon	even	*bar {*[b]ar}	luxuriant (growth); flourishing
繁	繁	많을 번, 뱃대끈 반, 성 파, 번성할 번, 흴 파, 날렵할 민	fán	bjon	b-	-jon	even	*bar {*[b]ar}	abundant, numerous
飯	饭	밥 반	fàn	bjonH	b-	-jon	departing	*bonʔ-s	cooked rice or millet
飯	饭	밥 반	fàn	bjonX	b-	-jon	rising	*bonʔ {*[b]o[n]ʔ}	eat
𩱡	𩱡		jiān	kjon	k-	-jon	even	*C.qan {*C.qa[n]}	gruel
建	建	세울 건, 엎지를 건	jiàn	kjonH	k-	-jon	departing	*kan-s {*[k]a[n]-s}	set up, establish
曼	曼	길 만, 뻗을 만, 오랑캐 만, 길게 끌 만	màn	mjonH	m-	-jon	departing	*man-s {*ma[n]-s}	extended, long
晚	晚		wǎn	mjonX	m-	-jon	rising	*morʔ {*mo[r]ʔ}	late
蔓	蔓	덩굴 만, 순무 만	wàn	mjonH	m-	-jon	departing	*C.man-s {*C.ma[n]-s}	creep; creeping plant
萬	万	일만 만	wàn	mjonH	m-	-jon	departing	*C.man-s {*C.ma[n]-s}	10000
言	言	말씀 언, 화평할 은, 소송할 언, 화기애애할 은	yán	ngjon	ng-	-jon	even	*ŋan {*ŋa[n]}	(a particle)
言	言	말씀 언, 화평할 은, 소송할 언, 화기애애할 은	yán	ngjon	ng-	-jon	even	*ŋan {*ŋa[n]}	I, we
言	言	말씀 언, 화평할 은, 소송할 언, 화기애애할 은	yán	ngjon	ng-	-jon	even	*ŋan {*ŋa[n]}	speak; speech
甗	甗	시루 언	yǎn	ngjon	ng-	-jon	even	*ŋar	boiler
巘	巘	봉우리 헌, 봉우리 언	yǎn	ngjonX	ng-	-jon	rising	*ŋarʔ	hilltop
鬳	鬳	시루 권, 솥 권	yàn	ngjonH	ng-	-jon	departing	*ŋar-s	boiler
阪	坂	비탈 판, 언덕 판	bǎn	pjonX	p-	-jon	rising	*panʔ {*pa[n]ʔ}	slope, bank
蕃	蕃	우거질 번, 고을 이름 피, 불을 번	fān	pjon	p-	-jon	even	*par	hedge, screen
藩	藩		fān	pjon	p-	-jon	even	*par	hedge (n.)
